"","X","SiteID","Longitude.y","Latitude.x","Month","Year","Examined","Pf_pos","Pf_per","AvgTemp","MaxTemp","Precip","ALAN","PopDens","AGambiae","ALAN.lg","ALAN.trans"
"59",59,880813,27.52,-17.123,4,2015,32,10,0.3125,25.79999924,31.47354126,125.528923,0.001697205,30.99627686,0.420450764,0.232285674028163,-0.923421899154425
"60",60,880866,27.0428,-17.0795,4,2014,51,8,0.1569,21,27.23741722,99.02519226,0.001497224,72.09946442,0.026491507,0.178177800910971,-0.941571073302172
"61",61,880866,27.0404,-17.0764,4,2015,33,0,0,21,27.13310432,109.226181,0.001585063,72.09946442,0.021519607,0.202777841005755,-0.93331782387038
"62",62,880866,27.035,-17.0752,4,2016,34,0,0,21,27.51591682,153.8012238,0.001585063,72.09946442,0.021519607,0.202777841005755,-0.93331782387038
"63",63,880929,27.5577,-17.0579,4,2015,40,9,0.225,25.70000076,31.46204185,123.6924744,0.000328037,30.99627686,0.136414211,-0.471035761212333,-1.16135905617174
"64",64,880929,27.555,-17.0575,4,2016,47,1,0.0213,25.70000076,31.90110397,166.7764282,0.000328037,30.99627686,0.136414211,-0.471035761212333,-1.16135905617174
"65",65,880912,26.9111,-17.0574,4,2016,56,0,0,20.79999924,27.27991676,144.325119,0.001700677,25.68330002,0.010013201,0.233168016344155,-0.923126053886508
"66",66,880912,26.9078,-17.0544,4,2014,87,4,0.046,20.70000076,26.91741753,92.00712585,0.001665645,21.61203194,0.010013201,0.224182014967568,-0.926139184843871
"67",67,880912,26.9169,-17.0538,4,2015,29,0,0,20.79999924,27.01535416,104.1310654,0.001972989,68.01930237,0.013273943,0.297320305101646,-0.901625112020619
"68",68,880929,27.5633,-17.0529,4,2014,49,25,0.5102,25.70000076,31.49954224,103.5126038,0.000250896,30.99627876,0.136414211,-0.583532579356063,-1.20016875417555
"69",69,880822,27.6687,-17.0045,4,2014,55,43,0.7818,25.70000076,31.03965378,92.60527039,0.000141297,30.99627686,0.410269621,-0.820169683320916,-1.28328901964632
"70",70,880822,27.6737,-16.9949,4,2015,27,14,0.5185,25.60000038,30.94234657,111.2560501,0.000141297,30.99627876,0.500109991,-0.820169683320916,-1.28328901964632
"71",71,880822,27.6796,-16.9912,4,2016,44,4,0.0909,25.60000038,31.38245201,144.6172791,0.000141297,30.99627876,0.500109991,-0.820169683320916,-1.28328901964632
"72",72,840973,35.1652,-16.987,4,2010,48,5,0.1042,24.29999924,29.96028137,107.7740936,0.000865564,109.0250092,0.260924154,-0.0577121033429856,-1.02090027158936
"73",73,880986,26.8911,-16.9794,4,2016,57,4,0.0702,20.60000038,27.07599068,140.4457245,0.003550739,72.09947968,0.016146491,0.551540141319873,-0.816560416566471
"74",74,880986,26.9042,-16.9773,4,2014,69,1,0.0145,20.60000038,26.73015785,92.83014679,0.003948485,72.09947205,0.016146491,0.597529003594394,-0.801189835833376
"75",75,880986,26.9083,-16.9772,4,2015,42,0,0,20.60000038,26.71435928,101.4404831,0.004124782,72.09947205,0.016146491,0.616452616985823,-0.794866333175303
"76",76,880918,27.3348,-16.9727,4,2015,32,6,0.1875,21.89999962,27.55323601,119.4151001,0.000641631,28.00238419,0.276584444,-0.185998263208381,-1.06423822051701
"77",77,880918,27.3526,-16.9688,4,2016,68,1,0.0147,21.79999924,27.96278381,163.7704315,0.000511708,28.00238609,0.276584444,-0.282572503647154,-1.09699259775042
"78",78,880918,27.3409,-16.9638,4,2014,59,57,0.9661,21.89999962,27.6074028,104.2454453,0.000668836,28.00238419,0.276584444,-0.168235134258348,-1.05822678636762
"79",79,880983,27.2393,-16.9373,4,2016,52,2,0.0385,21,27.18447113,156.2292938,0.001568167,28.00238419,0.016024592,0.198152957898095,-0.93486922984549
"80",80,880983,27.2398,-16.9338,4,2015,35,3,0.0857,21,26.78707695,113.0454102,0.001568167,28.00238419,0.016024592,0.198152957898095,-0.93486922984549
"81",81,880882,27.5698,-16.9316,4,2015,31,13,0.4194,25.10000038,30.54112434,118.5169067,0.000212434,30.26387596,0.160024568,-0.652798828223961,-1.22425865777395
"82",82,880983,27.2452,-16.9305,4,2014,55,12,0.2182,20.89999962,26.84697342,100.9971695,0.001491514,28.00238609,0.016024592,0.17652938588192,-0.942124221935211
"83",83,880882,27.5745,-16.9203,4,2014,49,32,0.6531,25,30.60362434,103.2968292,0.000222178,22.12065887,0.160024568,-0.634178934172184,-1.21776631565921
"84",84,880882,27.5784,-16.9179,4,2016,44,1,0.0227,24.89999962,30.96456146,155.9826355,0.000213066,21.15512466,0.160024568,-0.651566620382476,-1.22382861576156
"85",85,880843,27.0831,-16.8964,4,2014,61,1,0.0164,20.79999924,26.7618618,97.85494995,0.008453365,72.09946442,0.020392815,0.927543071120527,-0.690990126207075
"86",86,880843,27.0945,-16.88,4,2016,32,0,0,20.79999924,27.23976898,147.2163696,0.008293173,30.44044113,0.016120705,0.91924408672039,-0.693759758303095
"87",87,880843,27.0861,-16.8739,4,2015,40,2,0.05,20.70000076,26.70382309,105.1382523,0.009902848,63.54528809,0.020315864,0.996198446916007,-0.668079962312295
"88",88,880928,27.728,-16.843,4,2015,55,14,0.2545,25.20000076,30.97440147,107.5551834,0.000156898,21.15512085,0.463862027,-0.777548867599771,-1.26812753079607
"89",89,880893,27.504,-16.83,4,2015,63,2,0.0317,22.39999962,28.34945869,113.6112213,0.000317536,21.15512085,0.117377123,-0.484740959055083,-1.16606901010821
"90",90,880928,27.7227,-16.8271,4,2016,53,3,0.0566,25.20000076,31.19518471,132.5179901,0.000174727,21.15511894,0.446528828,-0.733469622729615,-1.25254665990174
"91",91,880928,27.7259,-16.8253,4,2014,44,31,0.7045,25.39999962,30.87070656,95.51306915,0.000171162,21.15512085,0.446528828,-0.741932893419809,-1.25553088249947
"92",92,880893,27.5011,-16.8223,4,2016,65,1,0.0154,22.5,28.7562294,146.6378326,0.000320656,23.22030449,0.117377123,-0.480623592290865,-1.16465354310274
"93",93,880906,27.426,-16.8163,4,2015,60,13,0.2167,21.60000038,27.43995857,111.9114914,0.000445813,28.002388,0.104216013,-0.341213292697212,-1.11694909051784
"94",94,880893,27.4979,-16.8157,4,2014,53,13,0.2453,22.5,27.99420929,103.1088486,0.000330908,28.00238609,0.105327507,-0.467362807175072,-1.16009757775053
"95",95,880819,27.8718,-16.8085,4,2014,35,16,0.4571,25.5,31.16695786,87.05940247,0.000158681,21.15511703,0.158206165,-0.772933832999867,-1.2664916904288
"96",96,880819,27.8793,-16.8082,4,2016,38,1,0.0263,25.5,31.25258255,115.9181671,0.000158235,21.15511703,0.457191029,-0.774083647505982,-1.26689914953848
